Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Stride: Search-based deterministic replay in polynomial time via bounded linkage,J. Zhou; X. Xiao; C. Zhang,"The Prism Research Group, Department of Computer Science and Engineering, The Hong Kong University of Science and Technology",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,892,902,"Deterministic replay remains as one of the most effective ways to comprehend concurrent bugs. Existing approaches either maintain the exact shared read-write linkages with a large runtime overhead or use exponential off-line algorithms to search for a feasible interleaved execution. In this paper, we propose Stride, a hybrid solution that records the bounded shared memory access linkages at runtime and infers an equivalent interleaving in polynomial time, under the sequential consistency assumption. The recording scheme eliminates the need for synchronizing the shared read operations, which results in a significant overhead reduction. Comparing to the previous state-of-the-art approach of deterministic replay, Stride reduces, on average, 2.5 times of runtime overhead and produces, on average, 3.88 times smaller logs.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227130,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227130,Concurrency;Debugging;Replaying,Couplings;Instruction sets;Instruments;Law;Runtime;Schedules,polynomials;program debugging;search problems;shared memory systems,Stride;bounded linkage;concurrent bugs;exponential offline algorithms;polynomial time;read write linkages;search based deterministic replay;sequential consistency assumption;shared memory access,,4,,34,,,,2-9 June 2012,,IEEE,IEEE Conferences
Evaluating the specificity of text retrieval queries to support software engineering tasks,S. Haiduc; G. Bavota; R. Oliveto; A. Marcus; A. De Lucia,"Computer Science Department, Wayne State University, Detroit, MI 48202, USA",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,1273,1276,"Text retrieval approaches have been used to address many software engineering tasks. In most cases, their use involves issuing a textual query to retrieve a set of relevant software artifacts from the system. The performance of all these approaches depends on the quality of the given query (i.e., its ability to describe the information need in such a way that the relevant software artifacts are retrieved during the search). Currently, the only way to tell that a query failed to lead to the expected software artifacts is by investing time and effort in analyzing the search results. In addition, it is often very difficult to ascertain what part of the query leads to poor results. We propose a novel pre-retrieval metric, which reflects the quality of a query by measuring the specificity of its terms. We exemplify the use of the new specificity metric on the task of concept location in source code. A preliminary empirical study shows that our metric is a good effort predictor for text retrieval-based concept location, outperforming existing techniques from the field of natural language document retrieval.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227101,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227101,Concept location;Query specificity;Text retrieval,Context;Correlation;Entropy;Information retrieval;Measurement;Natural languages;Software,natural languages;query processing;software metrics;text analysis,natural language text;preretrieval metric;query quality;software artifacts;software engineering tasks;source code;specificity evaluation;specificity metric;text retrieval queries;text retrieval-based concept location,,11,,14,,,,2-9 June 2012,,IEEE,IEEE Conferences
Combining Word2Vec with Revised Vector Space Model for Better Code Retrieval,T. V. Nguyen; A. T. Nguyen; H. D. Phan; T. D. Nguyen; T. N. Nguyen,,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),20170703,2017,,,183,185,"API example code search is an important applicationin software engineering. Traditional approaches to API codesearch are based on information retrieval. Recent advance inWord2Vec has been applied to support the retrieval of APIexamples. In this work, we perform a preliminary study thatcombining traditional IR with Word2Vec achieves better retrievalaccuracy. More experiments need to be done to study differenttypes of combination among two lines of approaches.",,Electronic:978-1-5386-1589-8; POD:978-1-5386-1590-4,10.1109/ICSE-C.2017.90,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965297,Code Search;Information Retrieval;Word2Vec,Computer bugs;Documentation;Java;Search engines;Software engineering;Tutorials,application program interfaces;information retrieval;software engineering;source code (software);vectors,API example code search;Word2Vec;code retrieval;information retrieval;revised vector space model;software engineering,,,,,,,,20-28 May 2017,,IEEE,IEEE Conferences
Using mutation analysis for a model-clone detector comparison framework,M. Stephan; M. H. Alafi; A. Stevenson; J. R. Cordy,"School of Computing, Queen's University, Kingston, Canada",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1261,1264,"Model-clone detection is a relatively new area and there are a number of different approaches in the literature. As the area continues to mature, it becomes necessary to evaluate and compare these approaches and validate new ones that are introduced. We present a mutation-analysis based model-clone detection framework that attempts to automate and standardize the process of comparing multiple Simulink model-clone detection tools or variations of the same tool. By having such a framework, new research directions in the area of model-clone detection can be facilitated as the framework can be used to validate new techniques as they arise. We begin by presenting challenges unique to model-clone tool comparison including recall calculation, the nature of the clones, and the clone report representation. We propose our framework, which we believe addresses these challenges. This is followed by a presentation of the mutation operators that we plan to inject into our Simulink models that will introduce variations of all the different model clone types that can then be searched for by each respective model-clone detector.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606693,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606693,,Adaptation models;Analytical models;Cloning;Computational modeling;Detectors;Layout;Software packages,software engineering,Simulink model-clone detection tools;clone nature;clone report representation;model clone type search;model-clone detector comparison framework;mutation analysis;mutation operators;recall calculation,,4,,10,,,,18-26 May 2013,,IEEE,IEEE Conferences
EXSYST: Search-based GUI testing,F. Gross; G. Fraser; A. Zeller,"Saarland University Saarbr&#x00FC;cken, Germany",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,1423,1426,"Test generation tools commonly aim to cover structural artefacts of software, such as either the source code or the user interface. However, focusing only on source code can lead to unrealistic or irrelevant test cases, while only exploring a user interface often misses much of the underlying program behavior. Our EXSYST prototype takes a new approach by exploring user interfaces while aiming to maximize code coverage, thus combining the best of both worlds. Experiments show that such an approach can achieve high code coverage matching and exceeding the code coverage of traditional unit-based test generators; yet, by construction every test case is realistic and relevant, and every detected failure can be shown to be caused by a real sequence of input events.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227232,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227232,GUI testing;system testing;test case generation;test coverage,Calculators;Educational institutions;Generators;Graphical user interfaces;Shape;Testing,graphical user interfaces;program testing;system recovery,EXSYST;code coverage matching;failure detection;program behavior;search-based GUI testing;software structural artefact;source code;system testing;test case generation;test coverage;test generation tool;unit-based test generator;user interface,,9,,10,,,,2-9 June 2012,,IEEE,IEEE Conferences
Combining Symbolic Execution and Model Checking for Data Flow Testing,T. Su; Z. Fu; G. Pu; J. He; Z. Su,"Shanghai Key Lab. of Trustworthy Comput., East China Normal Univ., Shanghai, China",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,654,665,"Data flow testing (DFT) focuses on the flow of data through a program. Despite its higher fault-detection ability over other structural testing techniques, practical DFT remains a significant challenge. This paper tackles this challenge by introducing a hybrid DFT framework: (1) The core of our framework is based on dynamic symbolic execution (DSE), enhanced with a novel guided path search to improve testing performance, and (2) we systematically cast the DFT problem as reach ability checking in software model checking to complement our DSE-based approach, yielding a practical hybrid DFT technique that combines the two approaches' respective strengths. Evaluated on both open source and industrial programs, our DSE-based approach improves DFT performance by 60~80% in terms of testing time compared with state-of-the-art search strategies, while our combined technique further reduces 40% testing time and improves data-flow coverage by 20% by eliminating infeasible test objectives. This combined approach also enables the cross-checking of each component for reliable and robust testing results.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.81,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194614,coverage criteria;data flow coverage;data flow testing;model checking;symbolic execution,Discrete Fourier transforms;Engines;Model checking;Safety;Search problems;Software,data flow computing;formal verification;program testing;public domain software;software fault tolerance;software performance evaluation,DSE;data flow testing;dynamic symbolic execution;fault-detection ability;guided path search;hybrid DFT framework;industrial program;open source program;performance testing;software model checking;structural testing,,4,,61,,,,16-24 May 2015,,IEEE,IEEE Conferences
Synthesizing API usage examples,R. P. L. Buse; W. Weimer,"Department of Computer Science, University of Virginia, Charlottesville, VA, USA",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,782,792,"Key program interfaces are sometimes documented with usage examples: concrete code snippets that characterize common use cases for a particular data type. While such documentation is known to be of great utility, it is burdensome to create and can be incomplete, out of date, or not representative of actual practice. We present an automatic technique for mining and synthesizing succinct and representative human-readable documentation of program interfaces. Our algorithm is based on a combination of path sensitive dataflow analysis, clustering, and pattern abstraction. It produces output in the form of well-typed program snippets which document initialization, method calls, assignments, looping constructs, and exception handling. In a human study involving over 150 participants, 82% of our generated examples were found to be at least as good at human-written instances and 94% were strictly preferred to state of the art code search.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227140,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227140,,Abstracts;Algorithm design and analysis;Clustering algorithms;Concrete;Documentation;Humans;Java,application program interfaces;data flow analysis;data mining;document handling;exception handling;pattern clustering,API usage example synthesis;concrete code snippets;document initialization;exception handling;key program interfaces;looping constructs;method assignment;method calls;path sensitive dataflow analysis;pattern abstraction;pattern clustering;program interface documentation mining;program interface documentation synthesis;program snippets,,34,1,39,,,,2-9 June 2012,,IEEE,IEEE Conferences
SWIM: Synthesizing What I Mean - Code Search and Idiomatic Snippet Synthesis,M. Raghothaman; Y. Wei; Y. Hamadi,"Univ. of Pennsylvania, Philadelphia, PA, USA",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,357,367,"Modern programming frameworks come with large libraries, with diverse applications such as for matching regular expressions, parsing XML files and sending email. Programmers often use search engines such as Google and Bing to learn about existing APIs. In this paper, we describe SWIM, a tool which suggests code snippets given API-related natural language queries such as “generate md5 hash code”. The query does not need to contain framework-specific trivia such as the type names or methods of interest. We translate user queries into the APIs of interest using clickthrough data from the Bing search engine. Then, based on patterns learned from open-source code repositories, we synthesize idiomatic code describing the use of these APIs. We introduce structured call sequences to capture API-usage patterns. Structured call sequences are a generalized form of method call sequences, with if-branches and while-loops to represent conditional and repeated API usage patterns, and are simple to extract and amenable to synthesis. We evaluated SWIM with 30 common C# API-related queries received by Bing. For 70% of the queries, the first suggested snippet was a relevant solution, and a relevant solution was present in the top 10 results for all benchmarked queries. The online portion of the workflow is also very responsive, at an average of 1.5 seconds per snippet.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884808,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886917,Free form queries;code search;idiomatic snippet synthesis;structured call sequences,C# languages;Data models;Libraries;Natural languages;Pattern matching;Search engines;Web pages,application program interfaces;query processing;search engines,API usage patterns;API-related natural language queries;Bing;Google;SWIM framework;application program interface;code search;idiomatic snippet synthesis;method call sequences;programming framework;search engines;synthesizing what i mean,,3,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
1st International workshop on combining modelling and search-based software engineering (CMSBSE 2013),M. Harman; R. F. Paige; J. R. Williams,"CREST Centre, University College London, Malet Place, London, WC1E 6BT, U.K.",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1513,1514,"Modelling plays a vital and pervasive role in software engineering: it provides means to manage complexity via abstraction, and enables the creation of larger, more complex systems. Search-based software engineering (SBSE) offers a productive and proven approach to software engineering through automated discovery of near-optimal solutions to problems, and has proven itself to be effective on a wide variety of software-and systems engineering problems. CMSBSE 2013 was a forum allowing researchers from both communities to meet, discuss synergies and differences, and present topics related to the intersection of search and modelling. Particular goals of CMSBSE were to highlight that SBSE and modelling have substantial conceptual and technical synergy, and to identify and present opportunities in which they can be combined, whilst also aiming to grow the community working in this area.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606763,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606763,Modelling;Search-based software engineering,Communities;Conferences;Educational institutions;Modeling;Search problems;Software;Software engineering,,,,0,,14,,,,18-26 May 2013,,IEEE,IEEE Conferences
How and When to Transfer Software Engineering Research via Extensions,D. Shepherd; K. Damevski; L. Pollock,"ABB Corp. Res., Raleigh, NC, USA",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,239,240,"It is often reported that there is a large gap between software engineering research and practice, with little transfer from research to practice. While this is true in general, one transfer technique is increasingly breaking down this barrier: extensions to integrated development environments (IDEs). With the proliferation of app stores for IDEs and increasing transfer effort from researchers several research-based extensions have seen significant adoption. In this talk we'll discuss our experience transferring code search research, which currently is in the top 5% of Visual Studio extensions with over 13,000 downloads, as well as other research techniques transferred via extensions such as NCrunch, FindBugs, Code Recommenders, Mylyn, and Instasearch. We'll use the lessons learned from our transfer experience to provide case study evidence as to best practices for successful transfer, supplementing it with the quantitative evidence offered by app store and usage data across the broader set of extensions. The goal of this 30 minute talk is to provide researchers with a realistic view on which research techniques can be transferred to practice as well as concrete steps to execute such a transfer.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.152,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7202968,case study;integrated development environment;plugins;technology transfer,Computer bugs;Electronic mail;Prototypes;Software;Software engineering;Testing;Visualization,software engineering,IDE;Visual Studio extensions;integrated development environments;research-based extensions;software engineering research,,1,,14,,,,16-24 May 2015,,IEEE,IEEE Conferences
On the value of user preferences in search-based software engineering: A case study in software product lines,A. S. Sayyad; T. Menzies; H. Ammar,"Lane Department of Computer Science and Electrical Engineering, West Virginia University, Morgantown, WV, USA",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,492,501,"Software design is a process of trading off competing objectives. If the user objective space is rich, then we should use optimizers that can fully exploit that richness. For example, this study configures software product lines (expressed as feature maps) using various search-based software engineering methods. As we increase the number of optimization objectives, we find that methods in widespread use (e.g. NSGA-II, SPEA2) perform much worse than IBEA (Indicator-Based Evolutionary Algorithm). IBEA works best since it makes most use of user preference knowledge. Hence it does better on the standard measures (hypervolume and spread) but it also generates far more products with 0% violations of domain constraints. Our conclusion is that we need to change our methods for search-based software engineering, particularly when studying complex decision spaces.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606595,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606595,Feature Models;Indicator-Based Evolutionary Algorithm;Multiobjective Optimization;Optimal Feature Selection;Search-Based Software Engineering;Software Product Lines,Evolutionary computation;Mobile handsets;Optimization;Sociology;Software;Software algorithms;Software engineering,evolutionary computation;software engineering,IBEA;NSGA-II;SPEA2;decision spaces;indicator-based evolutionary algorithm;search-based software engineering methods;software design;software product lines;user preferences,,42,,35,,,,18-26 May 2013,,IEEE,IEEE Conferences
Combining Multi-Objective Search and Constraint Solving for Configuring Large Software Product Lines,C. Henard; M. Papadakis; M. Harman; Y. Le Traon,"Interdiscipl. Centre for Security, Univ. of Luxembourg, Luxembourg, Luxembourg",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,517,528,"Software Product Line (SPL) feature selection involves the optimization of multiple objectives in a large and highly constrained search space. We introduce SATIBEA, that augments multi-objective search-based optimization with constraint solving to address this problem, evaluating it on five large real-world SPLs, ranging from 1,244 to 6,888 features with respect to three different solution quality indicators and two diversity metrics. The results indicate that SATIBEA statistically significantly outperforms the current state-of-the-art (p <; 0.01) for all five SPLs on all three quality indicators and with maximal effect size (Ȃ<sub>12</sub> = 1.0). We also present results that demonstrate the importance of combining constraint solving with search-based optimization and the significant improvement SATIBEA produces over pure constraint solving. Finally, we demonstrate the scalability of SATIBEA: within less than half an hour, it finds thousands of constraint-satisfying optimized software products, even for the largest SPL considered in the literature to date.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.69,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194602,,Filtering algorithms;Frequency modulation;Measurement;Optimization;Search problems;Software;Software product lines,configuration management;optimisation;search problems;software metrics;software product lines,SATIBEA framework;SPL feature selection;constraint solving;diversity metrics;multiobjective search-based optimization;software product lines configuration,,17,,55,,,,16-24 May 2015,,IEEE,IEEE Conferences
Guiding Dynamic Symbolic Execution toward Unverified Program Executions,M. Christakis; P. Müller; V. Wüstholz,"Dept. of Comput. Sci., ETH Zurich, Zurich, Switzerland",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,144,155,"Most techniques to detect program errors, such as testing, code reviews, and static program analysis, do not fully verify all possible executions of a program. They leave executions unverified when they do not check certain properties, fail to verify properties, or check properties under certain unsound assumptions such as the absence of arithmetic overflow. In this paper, we present a technique to complement partial verification results by automatic test case generation. In contrast to existing work, our technique supports the common case that the verification results are based on unsound assumptions. We annotate programs to reflect which executions have been verified, and under which assumptions. These annotations are then used to guide dynamic symbolic execution toward unverified program executions. Our main technical contribution is a code instrumentation that causes dynamic symbolic execution to abort tests that lead to verified executions, to prune parts of the search space, and to prioritize tests that cover more properties that are not fully verified. We have implemented our technique for the .NET static analyzer Clousot and the dynamic symbolic execution tool Pex. It produces smaller test suites (by up to 19.2%), covers more unverified executions (by up to 7.1%), and reduces testing time (by up to 52.4%) compared to combining Clousot and Pex without our technique.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884843,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886899,dynamic symbolic execution;partial verification;program verification;static analysis;testing,Aerospace electronics;Conferences;Instruments;Performance analysis;Redundancy;Software engineering;Testing,program testing,Clousot;Pex tool;arithmetic overflow;automatic test case generation;code instrumentation;dynamic symbolic execution;program error detection;program execution;unverified program execution,,,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
Studying Multi-threaded Behavior with TSViz,M. Nunes; H. Lalh; A. Sharma; A. Wong; S. Miucin; A. Fedorova; I. Beschastnikh,"Comput. Sci., Univ. Fed. de Minas Gerais, Belo Horizonte, Brazil",2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),20170703,2017,,,35,38,"Modern high-performing systems make extensive use of multiple CPU cores. These multi-threaded systems are complex to design, build, and understand. Debugging performance of these multi-threaded systems is especially challenging. This requires the developer to understand the relative execution of dozens of threads and their inter-dependencies, including data-sharing and synchronization behaviors. We describe TSViz, a visualization tool to help developers study and understand the activity of complex multi-threaded systems. TSviz depicts the partial order of concurrent events in a time-space diagram, and simultaneously scales this diagram according to the physical clock timestamps that tag each event. A developer can then interact with the visualization in several ways, for example by searching for events of interest, studying the distribution of critical sections across threads and zooming the diagram in and out. We overview TSviz design and describe our experience with using it to study a high-performance multi-threaded key-value store based on MongoDB. A video demo of TSViz is online: https://youtu.be/LpuiOZ3PJCk.",,Electronic:978-1-5386-1589-8; POD:978-1-5386-1590-4,10.1109/ICSE-C.2017.9,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965251,concurrency;log analysis;multi-threaded systems;performance debugging;tracing;visualization,Clocks;Debugging;Instruction sets;Synchronization;Tools;Visualization,multi-threading;system monitoring,MongoDB;TSViz;high-performance multithreaded key-value store;multithreaded systems;time-space diagram;visualization tool,,,,,,,,20-28 May 2017,,IEEE,IEEE Conferences
Billions and billions of constraints: Whitebox fuzz testing in production,E. Bounimova; P. Godefroid; D. Molnar,"Microsoft Research, USA",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,122,131,"We report experiences with constraint-based whitebox fuzz testing in production across hundreds of large Windows applications and over 500 machine years of computation from 2007 to 2013. Whitebox fuzzing leverages symbolic execution on binary traces and constraint solving to construct new inputs to a program. These inputs execute previously uncovered paths or trigger security vulnerabilities. Whitebox fuzzing has found one-third of all file fuzzing bugs during the development of Windows 7, saving millions of dollars in potential security vulnerabilities. The technique is in use today across multiple products at Microsoft. We describe key challenges with running whitebox fuzzing in production. We give principles for addressing these challenges and describe two new systems built from these principles: SAGAN, which collects data from every fuzzing run for further analysis, and JobCenter, which controls deployment of our whitebox fuzzing infrastructure across commodity virtual machines. Since June 2010, SAGAN has logged over 3.4 billion constraints solved, millions of symbolic executions, and tens of millions of test cases generated. Our work represents the largest scale deployment of whitebox fuzzing to date, including the largest usage ever for a Satisfiability Modulo Theories (SMT) solver. We present specific data analyses that improved our production use of whitebox fuzzing. Finally we report data on the performance of constraint solving and dynamic test generation that points toward future research problems.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606558,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606558,,Computer bugs;Monitoring;Production;Security;Servers;Testing,computability;data analysis;program diagnostics;program testing;security of data;virtual machines,JobCenter;SAGAN system;SMT solver;Windows 7;binary traces;commodity virtual machines;constraint solving performance;constraint-based whitebox fuzz testing;data analysis;dynamic test generation;program testing;satisfiability modulo theories;security vulnerability;symbolic execution,,21,,23,,,,18-26 May 2013,,IEEE,IEEE Conferences
Chiminey: Reliable Computing and Data Management Platform in the Cloud,I. I. Yusuf; I. E. Thomas; M. Spichkova; S. Androulakis; G. R. Meyer; D. W. Drumm; G. Opletal; S. P. Russo; A. M. Buckle; H. W. Schmidt,"Appl. Data Sci., Australia",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,677,680,"The enabling of scientific experiments that are embarrassingly parallel, long running and data-intensive into a cloud-based execution environment is a desirable, though complex undertaking for many researchers. The management of such virtual environments is cumbersome and not necessarily within the core skill set for scientists and engineers. We present here Chiminey, a software platform that enables researchers to (i) run applications on both traditional high-performance computing and cloud-based computing infrastructures, (ii) handle failure during execution, (iii) curate and visualise execution outputs, (iv) share such data with collaborators or the public, and (v) search for publicly available data.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.221,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203041,Cloud computing;HPC;data curation;data discovery;data management;data publication;fault tolerance;reliability;visualisation,Cloud computing;Connectors;Data visualization;Fault tolerance;Fault tolerant systems;Physics,cloud computing;data handling;parallel processing;software reliability;virtualisation,Chiminey;cloud-based computing infrastructure;data management platform;high-performance computing;software platform;software reliability;virtual environment,,3,,13,,,,16-24 May 2015,,IEEE,IEEE Conferences
Floating-Point Precision Tuning Using Blame Analysis,C. Rubio-González; C. Nguyen; B. Mehne; K. Sen; J. Demmel; W. Kahan; C. Iancu; W. Lavrijsen; D. H. Bailey; D. Hough,"Univ. of California, Davis, Davis, CA, USA",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,1074,1085,"While tremendously useful, automated techniques for tuning the precision of floating-point programs face important scalability challenges. We present Blame Analysis, a novel dynamic approach that speeds up precision tuning. Blame Analysis performs floating-point instructions using different levels of accuracy for their operands. The analysis determines the precision of all operands such that a given precision is achieved in the final result of the program. Our evaluation on ten scientific programs shows that Blame Analysis is successful in lowering operand precision. As it executes the program only once, the analysis is particularly useful when targeting reductions in execution time. In such case, the analysis needs to be combined with search-based tools such as Precimonious. Our experiments show that combining Blame Analysis with Precimonious leads to obtaining better results with significant reduction in analysis time: the optimized programs execute faster (in three cases, we observe as high as 39.9% program speedup) and the combined analysis time is 9× faster on average, and up to 38× faster than Precimonious alone.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884850,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886981,floating point;mixed precision;program optimization,Government;Numerical analysis;Performance analysis;Scalability;Search problems;Software;Tuning,program diagnostics,Precimonious tool;blame analysis approach;floating-point instructions;floating-point precision tuning;operand precision,,2,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
Automatic detection of performance deviations in the load testing of Large Scale Systems,H. Malik; H. Hemmati; A. E. Hassan,"Software Analysis and Intelligence Lab (SAIL) School of Computing, Queen's University, Kingston, Canada",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1012,1021,"Load testing is one of the means for evaluating the performance of Large Scale Systems (LSS). At the end of a load test, performance analysts must analyze thousands of performance counters from hundreds of machines under test. These performance counters are measures of run-time system properties such as CPU utilization, Disk I/O, memory consumption, and network traffic. Analysts observe counters to find out if the system is meeting its Service Level Agreements (SLAs). In this paper, we present and evaluate one supervised and three unsupervised approaches to help performance analysts to 1) more effectively compare load tests in order to detect performance deviations which may lead to SLA violations, and 2) to provide them with a smaller and manageable set of important performance counters to assist in root-cause analysis of the detected deviations. Our case study is based on load test data obtained from both a large scale industrial system and an open source benchmark application. The case study shows, that our wrapper-based supervised approach, which uses a search-based technique to find the best subset of performance counters and a logistic regression model for deviation prediction, can provide up to 89% reduction in the set of performance counters while detecting performance deviations with few false positives (i.e., 95% average precision). The study also shows that the supervised approach is more stable and effective than the unsupervised approaches but it has more overhead due to its semi-automated training phase.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606651,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606651,Machine Learning;Performance;Signature,Control charts;Large-scale systems;Logistics;Monitoring;Principal component analysis;Radiation detectors;Testing,input-output programs;program testing;public domain software;regression analysis;software performance evaluation;unsupervised learning,CPU utilization;LSS;SLA violations;automatic performance deviation detection;deviation prediction;disk I-O;large scale systems;load testing;logistic regression model;machine learning;memory consumption;network traffic;open source benchmark application;performance counters;root-cause analysis;run-time system properties;search-based technique;service level agreements;wrapper-based supervised approach,,24,,18,,,,18-26 May 2013,,IEEE,IEEE Conferences
SNIPR: Complementing code search with code retargeting capabilities,H. A. Sanchez,"Computer Science Department, University of California, Santa Cruz, Santa Cruz, CA 95060",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1423,1426,"This paper sketches a research path that seeks to examine the search for suitable code problem, based on the observation that when code retargeting is included within a code search activity, developers can justify the suitability of these results upfront and thus reduce their searching efforts looking for suitable code. To support this observation, this paper introduces the Snippet Retargeting Approach, or simply SNIPR. SNIPR complements code search with code retargeting capabilities. These capabilities' intent is to help expedite the process of determining if a found example is a best fit. They do that by allowing developers to explore code modification ideas in place, without requiring to leave the search interface. With SNIPR, developers engage in a virtuous loop where they find code, retarget code, and select only code choices they can justify as suitable. This assures immediate feedback on retargeted examples and thus saves valuable time searching for appropriate code.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606733,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606733,,Conferences;Presses;Programming;Prototypes;Search engines;Search problems;Software engineering,program compilers,SNIPR;code problem;code retargeting capabilities;code search activity;complementing code search;research path;snippet retargeting approach,,1,,27,,,,18-26 May 2013,,IEEE,IEEE Conferences
